,children,childrentxt,cover_id,fantasy,fantasytxt,medicine,medicinetxt,music,musictxt,mystery and detective stories,mystery and detective storiestxt,religion,religiontxt,romance,romancetxt,science,science fiction,science fictiontxt,sciencetxt,title,words,title_len,file
17,1.0,children,4724701.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the gift,['gift'],1,4724701.jpg
18,1.0,children,638080.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,precious moments,"['precious', 'moment']",2,638080.jpg
19,1.0,children,402163.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the girl in the picture,"['girl', 'picture']",2,402163.jpg
20,1.0,children,976742.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,un sac de billes,"['un', 'sac', 'de', 'billes']",4,976742.jpg
21,1.0,children,238160.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the door in the wall,"['door', 'wall']",2,238160.jpg
23,1.0,children,235422.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,gone baby gone,"['gone', 'baby', 'gone']",3,235422.jpg
24,1.0,children,684929.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,a prairie boy s summer,"['prairie', 'boy', 'summer']",3,684929.jpg
25,1.0,children,4145090.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,best books for children,"['best', 'book', 'child']",3,4145090.jpg
26,1.0,children,4190448.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,your child at play,"['child', 'play']",2,4190448.jpg
27,1.0,children,524352.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,what dreams may come,"['dream', 'may', 'come']",3,524352.jpg
28,1.0,children,385808.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,no david ,['david'],1,385808.jpg
29,1.0,children,785892.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,down in the garden,['garden'],1,785892.jpg
31,1.0,children,258583.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,judas child,"['juda', 'child']",2,258583.jpg
32,1.0,children,274646.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,babies need books,"['baby', 'need', 'book']",3,274646.jpg
33,1.0,children,6725695.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,where serpents lie,"['serpent', 'lie']",2,6725695.jpg
34,1.0,children,714385.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,parenting for prevention,"['parenting', 'prevention']",2,714385.jpg
35,1.0,children,3860907.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,an irish country childhood,"['irish', 'country', 'childhood']",3,3860907.jpg
36,1.0,children,579633.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the boys,['boy'],1,579633.jpg
37,1.0,children,3968179.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,pediatric diagnosis,"['pediatric', 'diagnosis']",2,3968179.jpg
38,1.0,children,6625268.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,house of tomorrow,"['house', 'tomorrow']",2,6625268.jpg
39,1.0,children,3993102.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the visions of the children,"['vision', 'child']",2,3993102.jpg
40,1.0,children,1104019.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,language and learning,"['language', 'learning']",2,1104019.jpg
41,1.0,children,4197575.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,a world made of fire,"['world', 'made', 'fire']",3,4197575.jpg
44,1.0,children,5405230.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,pediatric nutrition handbook,"['pediatric', 'nutrition', 'handbook']",3,5405230.jpg
45,0.0,0,1983318.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,gulliver s travels,"['gulliver', 'travel']",2,1983318.jpg
46,0.0,0,2540341.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,midsummer night s dream,"['midsummer', 'night', 'dream']",3,2540341.jpg
47,0.0,0,549855.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,el hobbit,"['el', 'hobbit']",2,549855.jpg
48,0.0,0,8143765.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the return of the king,"['return', 'king']",2,8143765.jpg
49,0.0,0,115508.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,petit prince,"['petit', 'prince']",2,115508.jpg
50,0.0,0,906260.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,harry potter and the sorcerer s stone,"['harry', 'potter', 'sorcerer', 'stone']",4,906260.jpg
51,0.0,0,2385921.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,master and margarita,"['master', 'margarita']",2,2385921.jpg
52,0.0,0,35312.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the lion the witch and the wardrobe,"['lion', 'witch', 'wardrobe']",3,35312.jpg
53,0.0,0,7886986.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,charlie and the chocolate factory,"['charlie', 'chocolate', 'factory']",3,7886986.jpg
54,0.0,0,23805.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,prince caspian,"['prince', 'caspian']",2,23805.jpg
55,0.0,0,8132873.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,science fiction,0,a game of thrones,"['game', 'throne']",2,8132873.jpg
56,0.0,0,35269.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the magician s nephew,"['magician', 'nephew']",2,35269.jpg
57,0.0,0,50841.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,where the wild things are,"['wild', 'thing']",2,50841.jpg
58,0.0,0,2341290.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the two towers,"['two', 'tower']",2,2341290.jpg
59,0.0,0,2182214.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,a rebours,['rebours'],1,2182214.jpg
60,0.0,0,1726773.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,science fiction,0,a princess of mars,"['princess', 'mar']",2,1726773.jpg
61,0.0,0,3702053.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the last battle,"['last', 'battle']",2,3702053.jpg
62,0.0,0,115553.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,le petit prince,"['le', 'petit', 'prince']",3,115553.jpg
63,0.0,0,309995.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,ozma of oz,"['ozma', 'oz']",2,309995.jpg
64,0.0,0,765585.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the road to oz,"['road', 'oz']",2,765585.jpg
65,0.0,0,207262.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,tik tok of oz,"['tik', 'tok', 'oz']",3,207262.jpg
66,0.0,0,5306364.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the fellowship of the ring,"['fellowship', 'ring']",2,5306364.jpg
67,0.0,0,2341302.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the silmarillion,['silmarillion'],1,2341302.jpg
68,0.0,0,758814.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,glinda of oz,"['glinda', 'oz']",2,758814.jpg
69,0.0,0,5071176.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the magic of oz,"['magic', 'oz']",2,5071176.jpg
70,0.0,0,5927207.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,dorothy and the wizard in oz,"['dorothy', 'wizard', 'oz']",3,5927207.jpg
71,0.0,0,5665335.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the borrowers,['borrower'],1,5665335.jpg
72,0.0,0,7162086.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the voyages of doctor dolittle,"['voyage', 'doctor', 'dolittle']",3,7162086.jpg
73,0.0,0,765814.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,rinkitink in oz,"['rinkitink', 'oz']",2,765814.jpg
74,0.0,0,458737.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the witch of prague,"['witch', 'prague']",2,458737.jpg
75,0.0,0,6995623.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the sword of shannara,"['sword', 'shannara']",2,6995623.jpg
76,0.0,0,247.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the moon of gomrath,"['moon', 'gomrath']",2,247.jpg
77,0.0,0,1473369.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the patchwork girl of oz,"['patchwork', 'girl', 'oz']",3,1473369.jpg
78,0.0,0,113608.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the borrowers afloat,"['borrower', 'afloat']",2,113608.jpg
79,0.0,0,45138.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,science fiction,0,small gods,"['small', 'god']",2,45138.jpg
80,0.0,0,854819.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the lost princess of oz,"['lost', 'princess', 'oz']",3,854819.jpg
81,0.0,0,6253333.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the weirdstone of brisingamen,"['weirdstone', 'brisingamen']",2,6253333.jpg
82,0.0,0,1473556.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the emerald city of oz,"['emerald', 'city', 'oz']",3,1473556.jpg
83,0.0,0,6659113.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,science fiction,0,something wicked this way comes,"['something', 'wicked', 'way', 'come']",4,6659113.jpg
84,0.0,0,366216.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,lords and ladies,"['lord', 'lady']",2,366216.jpg
85,0.0,0,113605.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the borrowers afield,"['borrower', 'afield']",2,113605.jpg
86,0.0,0,119445.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,notre dame de paris,"['notre', 'dame', 'de', 'paris']",4,119445.jpg
87,0.0,0,5520267.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,treaties etc,"['treaty', 'etc']",2,5520267.jpg
88,0.0,0,5609108.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,anatomy descriptive and surgical,"['anatomy', 'descriptive', 'surgical']",3,5609108.jpg
90,0.0,0,955891.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,arrowsmith,['arrowsmith'],1,955891.jpg
91,0.0,0,453042.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,journey to the end of the night voyage au bout de la nuit ,"['journey', 'end', 'night', 'voyage', 'au', 'bout', 'de', 'la', 'nuit']",9,453042.jpg
93,0.0,0,719415.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,donde no hay doctor,"['donde', 'hay', 'doctor']",3,719415.jpg
94,0.0,0,6511211.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,healthwise handbook,"['healthwise', 'handbook']",2,6511211.jpg
95,0.0,0,1074245.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,digging up the bones,"['digging', 'bone']",2,1074245.jpg
96,0.0,0,4231727.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,chemistry for the health sciences,"['chemistry', 'health', 'science']",3,4231727.jpg
97,0.0,0,4502059.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,understanding medical terminology,"['understanding', 'medical', 'terminology']",3,4502059.jpg
98,0.0,0,3940046.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,medical terminology,"['medical', 'terminology']",2,3940046.jpg
99,0.0,0,4087333.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the consumer health information source book,"['consumer', 'health', 'information', 'source', 'book']",5,4087333.jpg
100,0.0,0,63301.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,numerical methods for engineers,"['numerical', 'method', 'engineer']",3,63301.jpg
101,0.0,0,394677.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,health and healing,"['health', 'healing']",2,394677.jpg
102,0.0,0,1061951.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,basic medical terminology,"['basic', 'medical', 'terminology']",3,1061951.jpg
103,0.0,0,4470048.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,witch doctor s apprentice,"['witch', 'doctor', 'apprentice']",3,4470048.jpg
105,0.0,0,6293925.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,medical terminology made easy,"['medical', 'terminology', 'made', 'easy']",4,6293925.jpg
106,0.0,0,4615311.0,0.0,0,1.0,medicine,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,native harvests,"['native', 'harvest']",2,4615311.jpg
107,0.0,0,6874320.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the spirit catches you and you fall down,"['spirit', 'catch', 'fall']",3,6874320.jpg
108,0.0,0,1435715.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,introduction to the health professions,"['introduction', 'health', 'profession']",3,1435715.jpg
109,0.0,0,4010933.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,dictionary of medical acronyms  abbreviations,"['dictionary', 'medical', 'acronym', 'abbreviation']",4,4010933.jpg
110,0.0,0,223471.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the spirit catches you and you fall down,"['spirit', 'catch', 'fall']",3,223471.jpg
111,0.0,0,2091818.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the theft of the spirit,"['theft', 'spirit']",2,2091818.jpg
112,0.0,0,713116.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,current medical terminology,"['current', 'medical', 'terminology']",3,713116.jpg
113,0.0,0,4884235.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,asceticism and healing in ancient india,"['asceticism', 'healing', 'ancient', 'india']",4,4884235.jpg
114,0.0,0,3758916.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,a doctor s life,"['doctor', 'life']",2,3758916.jpg
116,0.0,0,1232014.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,medical problems in dentistry,"['medical', 'problem', 'dentistry']",3,1232014.jpg
117,0.0,0,574988.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,medical terminology simplified,"['medical', 'terminology', 'simplified']",3,574988.jpg
118,0.0,0,1612107.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,notes for the mrcgp,"['note', 'mrcgp']",2,1612107.jpg
120,0.0,0,48303.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the dancing healers,"['dancing', 'healer']",2,48303.jpg
121,0.0,0,3883048.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,histoire de la douleur,"['histoire', 'de', 'la', 'douleur']",4,3883048.jpg
122,0.0,0,4713373.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,essentials of medical terminology,"['essential', 'medical', 'terminology']",3,4713373.jpg
123,0.0,0,720223.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,health care job explosion ,"['health', 'care', 'job', 'explosion']",4,720223.jpg
124,0.0,0,7924132.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,out island doctor,"['island', 'doctor']",2,7924132.jpg
125,0.0,0,1358632.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,certification review for health unit coordinators,"['certification', 'review', 'health', 'unit', 'coordinator']",5,1358632.jpg
126,0.0,0,1161672.0,0.0,0,1.0,medicine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,an introduction to spanish for health care workers,"['introduction', 'spanish', 'health', 'care', 'worker']",5,1161672.jpg
127,0.0,0,5973528.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the works of aristotle,"['work', 'aristotle']",2,5973528.jpg
128,0.0,0,6021553.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,breviary,['breviary'],1,6021553.jpg
129,0.0,0,453006.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,don giovanni,['giovanni'],1,453006.jpg
130,0.0,0,252542.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the enjoyment of music,"['enjoyment', 'music']",2,252542.jpg
131,0.0,0,314097.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,ecce homo,"['ecce', 'homo']",2,314097.jpg
132,0.0,0,6822199.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,a creative approach to music fundamentals,"['creative', 'approach', 'music', 'fundamental']",4,6822199.jpg
133,0.0,0,5560598.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,music and poetry,"['music', 'poetry']",2,5560598.jpg
134,0.0,0,1274259.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,a creative approach to music fundamentals,"['creative', 'approach', 'music', 'fundamental']",4,1274259.jpg
135,0.0,0,4423811.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,musical thoughts  afterthoughts,"['musical', 'thought', 'afterthought']",3,4423811.jpg
136,0.0,0,5650814.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the savoy operas,"['savoy', 'opera']",2,5650814.jpg
137,0.0,0,2636462.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,literary works,"['literary', 'work']",2,2636462.jpg
138,0.0,0,628418.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,tori amos,"['torus', 'amos']",2,628418.jpg
139,0.0,0,4275085.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,something special for me,"['something', 'special']",2,4275085.jpg
140,0.0,0,3845696.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,polaroids from the dead,"['polaroid', 'dead']",2,3845696.jpg
142,0.0,0,1083393.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,america s musical landscape,"['america', 'musical', 'landscape']",3,1083393.jpg
143,0.0,0,247067.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the classical style,"['classical', 'style']",2,247067.jpg
144,0.0,0,4469043.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the art of listening,"['art', 'listening']",2,4469043.jpg
145,0.0,0,3878827.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,revolution in the head,"['revolution', 'head']",2,3878827.jpg
146,0.0,0,6804796.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,all you need to know about the music business,"['need', 'know', 'music', 'business']",4,6804796.jpg
147,0.0,0,252545.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,source readings in music history,"['source', 'reading', 'music', 'history']",4,252545.jpg
148,0.0,0,1644093.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,gone bad,"['gone', 'bad']",2,1644093.jpg
149,0.0,0,426566.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,all you need to know about the music business,"['need', 'know', 'music', 'business']",4,426566.jpg
150,0.0,0,6985945.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,black music,"['black', 'music']",2,6985945.jpg
151,0.0,0,3360204.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,el origen de la tragedia,"['el', 'origen', 'de', 'la', 'tragedia']",5,3360204.jpg
152,0.0,0,1923066.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,ray charles,"['ray', 'charles']",2,1923066.jpg
153,0.0,0,688385.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the gift of music,"['gift', 'music']",2,688385.jpg
154,0.0,0,246099.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the physics of musical instruments,"['physic', 'musical', 'instrument']",3,246099.jpg
156,0.0,0,1274668.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,american music,"['american', 'music']",2,1274668.jpg
157,0.0,0,4827933.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,quasi una fantasia,"['quasi', 'una', 'fantasia']",3,4827933.jpg
158,0.0,0,100225.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,happy alchemy,"['happy', 'alchemy']",2,100225.jpg
159,0.0,0,140367.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the voice of egypt,"['voice', 'egypt']",2,140367.jpg
160,0.0,0,4966514.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,love can build a bridge,"['love', 'build', 'bridge']",3,4966514.jpg
